title;author;url;year;rate;ratings;genres;synopsis
For Us, the Living: A Comedy of Customs;Robert A. Heinlein;https://www.goodreads.com/book/show/50881.For_Us_the_Living;2003;3.39;3574;['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Philosophy', 'Audiobook', 'Novels'];"From Grand Master Robert A. Heinlein comes a long-lost first novel, written in 1939, introducing ideas and themes that would shape his career and define the genre that is synonymous with his name. July 12, 1939: Perry Nelson is driving along the palisades when another vehicle swerves into his lane, a tire blows out, and his car careens off the road and over a bluff. The last thing he sees before his head connects with the boulders below is a girl in a green bathing suit, prancing along the shore. When he wakes, the girl in green is a woman dressed in furs, and the sun-drenched shore has been replaced by snowcapped mountains. The woman, Diana, rescues Perry from the bitter cold and takes him to her home to rest and recuperate. Later they debate the cause of the accident, for Diana is unfamiliar with the concept of a tire blowout and Perry cannot comprehend snowfall in mid-July. Then Diana shares with him a vital piece of the date is now January 7, the year 2086. When his shock subsides, Perry begins an exhaustive study of global evolution over the past 150 years. He learns, among other things, that a United Europe was formed; the military draft was completely reconceived; banks became publicly owned and operated; and in the year 2003, two helicopters destroyed Manhattan in a galvanizing act of war. But education brings with it inescapable truths--the economic and legal systems, the government, and even the dynamic between men and women remain alien to Perry, the customs of the new day continually testing his mental and emotional resolve. Yet it is precisely his knowledge of a bygone era that will serve Perry best, as the man from 1939 seems destined to lead his newfound peers even further into the future than they could have imagined. A classic example of the future history that Robert Heinlein popularized during his career, For Us, the Living marks both the beginning and the end of an extraordinary arc comprising the political, social, and literary crusading that is his legacy."
The Holy Terror;H.G. Wells;https://www.goodreads.com/book/show/631062.The_Holy_Terror;1939;3.33;27;['Classics', 'British Literature', 'Novels'];"The Holy Terror is a 1939 work by H. G. Wells that is in part an analysis of fascism and in part a utopian novel. Which presents itself as a biography of a character Rudolf ""Rud"" Whitlow, who is born with such an aggressive temperament that he is referred to as the ""Holy Terror"". Rud eventually gets involved in socialist activism, and a group strategizing for world revolution. Who are looking to stage coup. The group contains a character inspired by Oswald Mosley. The revolution fails, revealing the cowardice underlying Rud's aggressiveness."
After Many a Summer Dies the Swan;Aldous Huxley;https://www.goodreads.com/book/show/5136.After_Many_a_Summer_Dies_the_Swan;1939;3.72;3124;['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Science Fiction', 'British Literature'];"A Hollywood millionaire with a terror of death, whose personal physician happens to be working on a theory of longevity-these are the elements of Aldous Huxley's caustic and entertaining satire on man's desire to live indefinitely. With his customary wit and intellectual sophistication, Huxley pursues his characters in their quest for the eternal, finishing on a note of horror. ""This is Mr. Huxley's Hollywood novel, and you might expect it to be fantastic, extravagant, crazy and preposterous. It is all that, and heaven and hell too....It is the kind of novel that he is particularly the master of, where the most extraordinary and fortuitous events are followed by contemplative little essays on the meaning of life....The story is outrageously good.""― New York Times . ""A highly sensational plot that will keep astonishing you to practically the final sentence.""― The New Yorker . ""Mr. Huxley's elegant mockery, his cruel aptness of phrase, the revelations and the ingenious surprises he springs on the reader are those of a master craftsman; Mr. Huxley is at the top of his form."" ―London Times Literary Supplement ."
The Death Guard;Philip George Chadwick;https://www.goodreads.com/book/show/2351902.The_Death_Guard;1939;3.53;40;['Science Fiction', 'Fiction', 'Classics', 'War'];When a near-invincible army of artificially created soldiers - the flesh guard - falls into the hands of an untrustworthy power, continental Europe forms an alliance and invades Britain. The resulting carnage reduces whole cities and towns in Britain to smoking rubble.
The Hopkins Manuscript;R.C. Sherriff;https://www.goodreads.com/book/show/2588395-the-hopkins-manuscript;1939;4.1;1428;['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'British Literature', 'Post Apocalyptic', 'Speculative Fiction'];"Recently there was a revival of one of the greatest of C20th stage plays, Journey's End (1929). It was wonderfully acted and produced, prompting us to search out the author's other work. R C Sherriff (1896-1975) had served in WW1; when he returned to his job as an insurance clerk he wrote plays for his local amateur dramatic club and, eventually, Journey's End, based on his letters home from the Front. During the 1930s he worked in Hollywood, writing screenplays for films such as Goodbye Mr Chips (1933) and The Four Feathers (1938); meanwhile he wrote novels, including A Fortnight in September (1931), which Persephone Books will publish in 2006, and a 1939 catastrophe novel 'written' by 'Edgar Hopkins'.I n The Hopkins Manuscript we watch through his eyes as the moon veers off course, draws slowly closer to the earth, and finally crashes into it on May 3rd 1946. Because it falls into the Atlantic much of humanity survives – only to generate new disasters. But this is not science fiction in the mode of H G Wells's The War of the Worlds; it is a novel about human nature.The 'manuscript' was named after its 'author', a retired Hampshire schoolmaster whose greatest interest in life is his Bantam hens; rather self-important and lacking much sense of humour, Edgar Hopkins nevertheless emerges as an increasingly sympathetic and credible character, the ordinary man with whom we very much identify as Sherriff describes the small Hampshire village trying to prepare itself in its last days. In Journey's End he evoked the trench experience as he had lived it; in The Hopkins Manuscript he describes the catastrophe as he might have lived it.But the book is also a superbly written novel in its own right, one which we are sure readers will find as unforgettable as any of Persephone Books' other titles. We defy anyone not to be overwhelmed by the scene when the villagers staunchly play a last game of cricket by the light of the moon that 'hung like a great amber, pock-marked lamp above a billiard-table, so vast and enveloping that the little white-clad cricketers moved without shadows to their appointed places on the field.'So how did 'the destruction of the Western civilisation' happen?  In 1945 (and there is a wonderful irony that, writing in 1939, Sherriff anticipated that our civilisation might be destroyed then) scientists discovered, during an eclipse of the sun, that the moon was twelve seconds late in its arrival and had drawn nearer to the earth by 3,583 miles; subsequent observations showed that it was continuing to approach at a speed increasing steadily by eight miles a day. Disaster had become inevitable.R C Sherriff made the scientific aspect of The Hopkins Manuscript strangely plausible even though, as Michael Moorcock writes in his Preface, 'he did not believe that there was any immediate likelihood of the moon crashing into the Earth.  We write such books not because we are convinced that they describe the future, but because we hope they do not.' Nonetheless, Sherriff's writing is so convincing that we have added a scientific explanation of the events in the book; this was written by the Big Bang scientist George Gamow for a 1963 US reprint.The reason The Hopkins Manuscript was reprinted then was because of the near-catastrophe of the Cuban Missile Crisis the year before; the previous reprint had been in 1958, at the height of the world's desperate anxieties about the H-Bomb; and the original publication was in the spring of 1939 when many believed that, once war was declared, Hitler would destroy civilisation as they knew it. And the 2005 reprint? The largest threat facing mankind today is global warming. The Hopkins manuscript can be read as a gripping and extremely interesting novel in its own right; but also as a parable of the possibly catastrophic effects of climate change."
Nemova říše (Kapitán Nemo, #1);J.M. Troska;https://www.goodreads.com/book/show/23676817-nemova-e;1939;4.07;92;['Science Fiction', 'Czech Literature'];"Trilogie Kapitán Nemo českého autora J. M. Troska patřila na přelomu třicátých a čtyřicátých let k oblíbené četbě mladé generace. Ne nadarmo se J. M. Troskovi začalo říkat ,,český Julius Verne"". Jeho početné romány navazovaly na tradici verneovek a rozvíjely některé základní motivy z románů populárního Francouze, jak je konečně patrné už i z názvu naší trilogie.První díl tohoto dobrodružného a fantastického vyprávění o geniálním kapitánu Nemovi, nazvaný Nemova říše seznámí nejdříve čtenáře s dvojicí českých techniků - inž. Holanem, tvůrcem nezničitelného holanitu, materiálu, který se výborně hodí zejména na stavbu lodí a ponorek, a jeho přítelem inž. Farinem, vynálezcem paprsků smrti a vynikajícím odborníkem v oboru elektřiny. Oba přátelé jsou odhodláni sestrojit ponorku a vydat se v jejích útrobách na výzkum mořského dna. Vypraví se tedy na pustý ostrov kdesi za jižním polárním kruhem a tam v klidu hodlají realizovat svůj záměr. Takřka před začátkem plavby postihne ostrov ničivá sněhová bouře, v níž se ztratí inž. Farin spolu s dalším účastníkem výpravy prof. Rogerem. Oba postižení se za dramatických okolností dostanou do fantastické podzemní říše kapitána Nema, kde mají možnost seznámit se nejen s úžasnými technickými vymoženostmi a samotným kapitáneme Nemo, ake i stát se jeho spolupracovníky. Zatímco Farin a Roger cestují podzemní říší, připravuje inž. Holan svoji plavbu. Těsně před vyplutím bere nad ní záštitu sám kapitán Nemo, který prostřednictvím dokonalé techniky řídí plavbu ponorky, jíž propůjčil čestný název Nautilus, k cíli její cesty, k legendární Atlantidě. Jejím nalezením a vzrušujícími dobrodružstvími při průzkumu končí Nemova říše, první díl populární trilogie Kapitán Nemo, jejímž vydáním splácíme dluh našemu čtenáři i dluh ,,českému Juliu Vernovi"", spisovateli J. M. Troskovi."
Rozkazy z éteru (Kapitán Nemo, #2);J.M. Troska;https://www.goodreads.com/book/show/23676825-rozkazy-z-teru;1939;3.77;44;['Science Fiction', 'Czech Literature'];Dobrodružná cesta účastníků Farinovi výpravy pokračuje v druhém dílu trilogie - Rozkazy z éteru. Nemo odhaluje před užaslými zraky vědců tajemství mořského dna: zbytky chrámů a paláců zničené Atlantidy, tvory, na povrchu Země dávno vyhynulé, fantastickou flóru a podivuhodné, inteligentní bytosti mimozemského původu. Podmořským tunelem pluje Nautilus až do Grónska, jedné z Nemových pozemských řídících stanic, svěřené domněle zahynuvšímu polárnímu badateli Roaldu Amundsenovi. A tu do vědeckého pozorování zasahují události, ohrožující světový mír: Farinův přístroj s paprsky smrti je ukraden a jeho vynálezce zavražděn. Po pachatelích - protřelém dobrodruhovi Xavierovi a jeho pomocníkovi Yamatakim - pátrá syn inženýra Farina Arne a jeho přítel Jiří. S lodí Kamako, na níž prchají oba zločinci do Japonska, plují pronásledovatelé až k břehům Sumatry. Násilí dočasně zvítězí: Arne i Jiří jsou vysazeni na úpatí sopky Krakatoa - z vykonavatelů spravedlnosti se stávají odsouzenci k smri.
Neviditelná armáda (Kapitán Nemo, #3);J.M. Troska;https://www.goodreads.com/book/show/23676836-neviditeln-arm-da;1939;3.74;35;['Science Fiction', 'Czech Literature'];"Osudy dvou mladých přátel Arna a Jiřího však nekončí. Jejich bdělý ochránce kapitán Nemo, který ze své podzemní říše sleduje plavbu lodi Kamako až na Sumatru a je svědkem nelidského činu Farinových vrahů, včas odvrátí tragické rozuzlení: neobyčejně přesným zásahem svého ,,meteoritu"" - tajemným světelným zdrojem s obrovskou ničivou silou - potápí loď Kamako i její zločinnou posádku a zachraňuje Arna a Jiřího. S oběma se setkáváme ve třetím dílu trilogie, nazvaném Neviditelná armáda. Arne se v objetí robota - Nemova létajícího stroje - ocitá na místě, kam před lety zmizel jeho otec inženýr Farin, v říši geniálního vládce Nema. Seznamuje se s jeho vnučkou Nelly, jedinou ženou v podzemní říši, a brzy pracuje jako jeden z Nemových pomocníků. Nemocného Jiřího posílá Nemo inženýru Holanovi. Zdá se, že Arnova přítele čeká dlouholetý pobyt v ústavu choromyslných. Nekolik hodin strávených poblíž sopky Krakatoa stačí k tomu, aby u něho propuklo šílenství. Ale Nemo neopouští své přátele. Použije svých prostředků na zeměkouli dosud neznámých a uzdraví Jiřího. Později mu umožní setkání s Arnem a tak získává dalšího spolupracovníka a ochránce světového míru. Farinovi paprsky už nejsou žádným tajemstvím. Neznámému evropskému vynálezci se podařil stejný objev jako kdysi inženýru Farinovi a účinky smrtících paprsků jsou známy generálskému štábu jisté mocnosti. Aby zabránil blížící se katastrofě, ničí Nemo vynálezcův přístroj. Ale síly připravující novou válku jsou stále nebezpečné. Nemo, teď už spoolečně s Arnem a Jiřím, se rozhoduje k novému, tentokrát rozhodujícímu zákroku. Když nepomáhá první výstraha - zničení nepřátelské flotily, nastupuje jeho neviditelná armáda."
Minions of the Moon;William Gray Beyer;https://www.goodreads.com/book/show/15942231-minions-of-the-moon;1939;3.86;7;[];
Brynhild, or the Show of Things;H.G. Wells;https://www.goodreads.com/book/show/1153150.Brynhild_or_the_Show_of_Things;1937;3.31;16;['Fiction'];Scribner’s first edition. 302 pages. VG/no dj. green cloth with silver titles on front and spine.
A Traveler in Time;Alison Uttley;https://www.goodreads.com/book/show/10047149-a-traveler-in-time;1939;4.09;2640;['Time Travel', 'Historical Fiction', 'Fantasy', 'Childrens', 'Historical', 'Fiction', 'Young Adult'];"This unusual novel is set in rural Derbyshire in the old manor house, Thackers, where the Babington family and their servant, Cicely Taberner, lived when Elizabeth I was Queen of England. The descendants of the Taberners have farmed the land through the centuries, and to the Taberners of the present day comes Penelope, their great-niece, a sensitive, imaginative girl, who is aware of other layers of time. With her awakened vision she sees people of the past move in their daily tasks among those of the present, and behind the contented life of the household of Cicely and Barnabas Taberner she finds the old tragedy of Anthony Babington and his plot to save Mary, Queen of Scots, being re-enacted. The farm kitchen where Penelope sits with her great-aunt and great-uncle is the home of those others who once lived there. Their desires and fears, their courage and strength enter the girl's mind; their voices float up from the garden and she is caught up into their life. Time is annihilated, and she lives in the closing years of the sixteenth century remembering little of her modern life, until she returns from her traveling in time bearing the anxieties and dreams of the other world. The life of two widely separated times in history - the Elizabethan and the present - goes on simultaneously, each invisible to the other. And only Penelope can pierce the veil, sharing the tumultuous experiences of the Babington family three hundred years ago."
F.P.1 Fails to Reply;Curt Siodmak;https://www.goodreads.com/book/show/1633436.F_P_1_Fails_to_Reply;1933;4.25;4;[];
By the Waters of Babylon;Stephen Vincent Benét;https://www.goodreads.com/book/show/369691.By_the_Waters_of_Babylon;1937;3.87;821;['Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Post Apocalyptic', 'Read For School', 'School'];Do your students enjoy a good laugh? Do they like to be scared? Or do they just like a book with a happy ending? No matter what their taste, our Creative Short Stories series has the answer.We've taken some of the world's best stories from dark, musty anthologies and brought them into the light, giving them the individual attention they deserve. Each book in the series has been designed with today's young reader in mind. As the words come to life, students will develop a lasting appreciation for great literature.The humor of Mark Twain ... the suspense of Edgar Allan Poe...the danger of Jack London ... the sensitivity of Katherine Mansfield. Creative Short Stories has it all and will prove to be a welcome addition to any library.
The Man Who Saw the Future;Edmond Hamilton;https://www.goodreads.com/book/show/6568286-the-man-who-saw-the-future;1932;3.16;106;['Science Fiction', 'Short Stories', 'Time Travel', 'Science Fiction Fantasy'];"He was a straight figure, and was dressed in drab tunic and hose. His dark hair was long and straight, and his face held a dreaming strength, altogether different from the battered visages of the soldiers or the changeless mask of the Inquisitor. The latter regarded the prisoner for a moment, and then lifted one of the parchments from before him and read from it in a smooth, clear voice.""Henri Lothiere, apothecary's assistant of Paris,"" he read, ""is charged in this year of our lord one thousand four hundred and forty-four with offending against God and the king by committing the crime of sorcery.""The prisoner spoke for the first time, his voice low but steady. ""I am no sorcerer, sire.""Jean de Marselait read calmly on from the parchment. ""It is stated by many witnesses that for long that part of Paris, called Nanley by some, has been troubled by works of the devil. Ever and anon great claps of thunder have been heard issuing from an open field there without visible cause. They were evidently caused by a sorcerer of power since even exorcists could not halt them.""It is attested by many that the accused, Henri Lothiere, did in spite of the known diabolical nature of the thing, spend much time at the field in question. It is also attested that the said Henri Lothiere did state that in his opinion the thunderclaps were not of diabolical origin, and that if they were studied, their cause might be discovered."
Jirel of Joiry;C.L. Moore;https://www.goodreads.com/book/show/941226.Jirel_of_Joiry;1934;3.72;1472;['Fantasy', 'Sword and Sorcery', 'Short Stories', 'Fiction', 'Science Fiction', 'Pulp', 'Classics'];"C. L. Moore created Jirel, ruler of Joiry, in reaction to the beefy total-testosterone blood-and-thunder tales of '30s pulp magazines, but Jirel is no anti-Conan. She's a good Catholic girl, stubbornly purposeful, relentless in pursuit of enemies or vengeance, hard-boiled and a little stupid, and cannot be distracted by mere physical attractiveness. Indeed, in Jirel's world, beauty = decadence = corruption. Were these stories written today, inevitably Jirel would have a lot of hot sex, but as they were first published in Weird Tales between 1934-1939, sexual attraction is mostly only vividly implied. No loss. Jirel's journeys through unnatural landscapes and her battles with supernatural opponents are still wonderful to read, and though newcomers Red Sonja and Xena are more famous now, Jirel rules as the archetypal, indomitable redheaded swordswoman in chain mail and greaves, swinging her ""great two-edged sword.""Contents:· Jirel Meets Magic · nv Weird Tales Jul ’35 · Black God’s Kiss · nv Weird Tales Oct ’34 · Black God’s Shadow · nv Weird Tales Dec ’34 · The Dark Land · nv Weird Tales Jan ’36 · Hellsgarde · nv Weird Tales Apr ’39"
At the Mountains of Madness, vol.1;H.P. Lovecraft;https://www.goodreads.com/book/show/55510335-at-the-mountains-of-madness-vol-1;2020;4.44;638;['Horror', 'Science Fiction', 'Lovecraftian', 'Fantasy', 'Fiction', 'Graphic Novels', 'Classics'];Antarctica. It is a place of frozen wastes, desolation and things best left forgotten. Presented here is the tale of William Dyer, a professor from Miskatonic University and the leader of an ill-fated expedition to that remote and forlorn continent. Recorded in a series of letters, Dyers tells a scarcely believable tale full of anomalous and often horrific events.Dreadful secrets lie beneath the ice, waiting to be discovered. Strange, cyclopean structures squat amidst the mountains towering in the distance, promising only madness to those who dare to explore their alien architecture. The Dyer Expedition ventures further than any other before them, and ultimately pays the price for it.H.P. Lovecraft’s At the Mountains of Madness, first published in 1936, is one of the greatest classics of American horror literature. The most ambitious story Lovecraft ever wrote, it has served as a source of inspirations for filmmakers and authors in the decades since his death. This is the first volume of two.François Baranger, an illustrator who has previously worked in film and games, was fascinated early on by Lovecraft’s creatures and visions which populated the darkest recesses of fantasy. Having previously illustrated The Call of Cthulhu to great acclaim, this book is his most ambitious so far.See volume 2 here.
Dune (Dune, #1);Frank Herbert;https://www.goodreads.com/book/show/44767458-dune;1965;4.28;1438529;['Science Fiction', 'Fiction', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Classics', 'Novels'];Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.
Ender’s Game (Ender's Saga, #1);Orson Scott Card;https://www.goodreads.com/book/show/375802.Ender_s_Game;1985;4.31;1398120;['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia'];"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails."
The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);Douglas Adams;https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy;1979;4.23;1881361;['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy'];"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!"
The Martian (Hardcover);Andy Weir;https://www.goodreads.com/book/show/18007564-the-martian;2011;4.42;1156178;['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Thriller'];Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?
Ready Player One (Ready Player One, #1);Ernest Cline;https://www.goodreads.com/book/show/9969571-ready-player-one;2011;4.23;1199976;['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure'];Librarian's note: An alternate cover edition can be found hereIN THE YEAR 2044, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines, puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. But when Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.
Fahrenheit 451 (Kindle Edition);Ray Bradbury;https://www.goodreads.com/book/show/13079982-fahrenheit-451;1953;3.96;2496885;['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels'];Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.
1984 (Paperback);George Orwell;https://www.goodreads.com/book/show/61439040-1984;1949;4.19;4770036;['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels'];A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be found here.
The Hunger Games (The Hunger Games, #1);Suzanne Collins;https://www.goodreads.com/book/show/2767052-the-hunger-games;2008;4.34;8921533;['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Teen', 'Post Apocalyptic'];Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.
Brave New World (Paperback);Aldous Huxley;https://www.goodreads.com/book/show/5129.Brave_New_World;1932;3.99;1901472;['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School'];"Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, Brave New Worldd likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites. ""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune"
Foundation (Foundation, #1);Isaac Asimov;https://www.goodreads.com/book/show/29579.Foundation;1951;4.17;552047;['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook', 'Space Opera'];The first novel in Isaac Asimov's classic science-fiction masterpiece, the Foundation series For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future--to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire--both scientists and scholars--and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation.
Do Androids Dream of Electric Sheep? (Kindle Edition);Philip K. Dick;https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep;1968;4.09;464698;['Science Fiction', 'Fiction', 'Dystopia', 'Cyberpunk', 'Science Fiction Fantasy', 'Fantasy', 'Classics'];"It was January 2021, and Rick Deckard had a license to kill. Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!"
Catching Fire (The Hunger Games, #2);Suzanne Collins;https://www.goodreads.com/book/show/6148028-catching-fire;2009;4.33;3692223;['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook', 'Teen'];Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In Catching Fire, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.
The Three-Body Problem (Remembrance of Earth’s Past, #1);Liu Cixin;https://www.goodreads.com/book/show/20518872-the-three-body-problem;2006;4.08;385442;['Science Fiction', 'Fiction', 'Audiobook', 'China', 'Fantasy', 'Science Fiction Fantasy', 'Aliens'];Set against the backdrop of China's Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction captures the signal and plans to invade Earth. Meanwhile, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or to fight against the invasion.
